"p1","p2","days","inst1_1","inst1_2","inst2_1","inst2_2","inst3_1","inst3_2","inst4_1","inst4_2","inst5_1","inst5_2"
"{a0} meet {a1}","{a1} ask {a0}","18-19","<font color='#d95f02'>trump</font> meets <font color='#7570b3'>'disgrace' merkel</font>","<font color='#7570b3'>merkel</font> asked <font color='#d95f02'>trump</font>","<font color='#d95f02'>trump</font> meets <font color='#7570b3'>merkel</font>","<font color='#7570b3'>mt politico merkel</font> asks <font color='#d95f02'>trump</font>","<font color='#d95f02'>.realdonaldtrump</font> meets <font color='#7570b3'>angela merkel</font>","<font color='#7570b3'>merkel</font> asked <font color='#d95f02'>realdonaldtrump</font>","<font color='#d95f02'>trump</font> meets <font color='#7570b3'>'disgrace' merkel</font>","<font color='#7570b3'>merkel</font> asked <font color='#d95f02'>trump</font>","<font color='#d95f02'>trump</font> meets <font color='#7570b3'>merkel</font>","<font color='#7570b3'>merkel</font> asked <font color='#d95f02'>president trump</font>"
"{a0} propose {a1}","{a0} release {a1}","16-17","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>a budget</font>","<font color='#d95f02'>trump</font> releases <font color='#7570b3'>his budget</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>$1.1t budget</font>","<font color='#d95f02'>trump</font> releases <font color='#7570b3'>$1.1t budget plan</font>","<font color='#d95f02'>trumps</font> proposed <font color='#7570b3'>budget</font>","<font color='#d95f02'>trump</font> releases <font color='#7570b3'>$1.1 trillion 'hard power budget</font>","<font color='#d95f02'>trump</font> releases <font color='#7570b3'>$1.1t budget plan</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>$1.1t budget</font>","<font color='#d95f02'>trumps</font> proposed <font color='#7570b3'>budget</font>","<font color='#d95f02'>trump</font> releases <font color='#7570b3'>$1.1t budget plan</font>"
"seize {a0} at {a1}","to grab {a0} at {a1}","19","to grab <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>a paris airport</font>","seizing <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris orly airport paris</font>","to grab <font color='#d95f02'>an assault weapon</font> at <font color='#7570b3'>paris</font>","seizing <font color='#d95f02'>weapon</font> at <font color='#7570b3'>paris</font>","seizing <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris orly airport paris</font>","to grab <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>a paris airport</font>","seizing <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris orly airport paris</font>","to grab <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris airport</font>","to grab <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>airport</font>","seizing <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris orly airport techtext techtect</font>"
"{a0} bring {a1}","{a0} take {a1}","21","<font color='#d95f02'>justin trudeau</font> took <font color='#7570b3'>ivanka trump</font>","<font color='#d95f02'>asitshould justin trudeau</font> brings <font color='#7570b3'>ivanka trump</font>","<font color='#d95f02'>justin trudeau</font> took <font color='#7570b3'>ivanka trump</font>","<font color='#d95f02'>prime minister justin trudeau</font> brought <font color='#7570b3'>ivanka trump</font>","<font color='#d95f02'>justin trudeau</font> took <font color='#7570b3'>ivanka trump</font>","<font color='#d95f02'>justintrudeau</font> brings <font color='#7570b3'>ivanka trump</font>","<font color='#d95f02'>#justintrudeau</font> brings <font color='#7570b3'>ivankatrump</font>","<font color='#d95f02'>justintrudeau</font> took <font color='#7570b3'>ivankatrump</font>","<font color='#d95f02'>justin trudeau</font> took <font color='#7570b3'>ivanka trump</font>","<font color='#d95f02'>justin trudeau</font> brings <font color='#7570b3'>invanka trump</font>"
"{a0} add {a1}","{a0} will bring {a1}","19","<font color='#d95f02'>mobile internet technology amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> will bring <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> will bring <font color='#7570b3'>alexa</font>","<font color='#d95f02'>techfempires - amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> will bring <font color='#7570b3'>alexa</font>","<font color='#d95f02'>mobile amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> will bring <font color='#7570b3'>alexa</font>","<font color='#d95f02'>mobile iphone app amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> will bring <font color='#7570b3'>alexa</font>","<font color='#d95f02'>letsnurture amazon</font> adds <font color='#7570b3'>alexa</font>"
"{a0} release {a1}","{a0} unveil {a1}","16-17","<font color='#d95f02'>trump</font> released <font color='#7570b3'>his budget</font>","<font color='#d95f02'>trump</font> unveils <font color='#7570b3'>first budget</font>","<font color='#d95f02'>trump</font> releases <font color='#7570b3'>his budget</font>","<font color='#d95f02'>trump</font> unveils <font color='#7570b3'>budget</font>","<font color='#d95f02'>house republicans</font> unveil <font color='#7570b3'>changes</font>","<font color='#d95f02'>house republicans</font> released <font color='#7570b3'>several key changes</font>","<font color='#d95f02'>trump</font> unveils <font color='#7570b3'>first budget</font>","<font color='#d95f02'>trump</font> releases <font color='#7570b3'>his budget</font>","<font color='#d95f02'>trump</font> unveils <font color='#7570b3'>budget</font>","<font color='#d95f02'>trump</font> releases <font color='#7570b3'>$1.1 trillion 'hard power budget</font>"
"{a0} fin {a1}","{a0} have be fin {a1}","16-17","<font color='#d95f02'>the tories</font> have been fined <font color='#7570b3'>70,000</font>","<font color='#d95f02'>tories</font> fined <font color='#7570b3'>70000</font>","<font color='#d95f02'>tories</font> fined <font color='#7570b3'>70000</font>","<font color='#d95f02'>the tories</font> have been fined <font color='#7570b3'>70,000</font>","<font color='#d95f02'>the tories</font> have been fined <font color='#7570b3'>70,000</font>","<font color='#d95f02'>tories</font> fined <font color='#7570b3'>70,000</font>","<font color='#d95f02'>the christian youth camps</font> has been fined <font color='#7570b3'>13,000</font>","<font color='#d95f02'>christian youth camps</font> fined <font color='#7570b3'>13,000</font>","<font color='#d95f02'>the conservative party</font> has been fined <font color='#7570b3'>70,000 &amp</font>","<font color='#d95f02'>news - conservative party</font> fined <font color='#7570b3'>70,000</font>"
"{a0} hit with {a1}","{a0} surrender on {a1}","18","<font color='#d95f02'>republican oklahoma lawmaker</font> surrenders on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> hit with <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>republican oklahoma lawmaker</font> hit with <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> surrenders on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> surrenders on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma gop lawmaker</font> hit with <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> surrenders on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma gop lawmaker</font> hit with <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> hit with <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> surrenders on <font color='#7570b3'>child prostitution charges</font>"
"{a0} name {a1}","{a0} to become {a1}","17-18-21","<font color='#d95f02'>george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>osborne</font> named <font color='#7570b3'>editor</font>","<font color='#d95f02'>- george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> named <font color='#7570b3'>the new editor</font>","<font color='#d95f02'>osborne</font> named <font color='#7570b3'>new london evening standard editor</font>","<font color='#d95f02'>osborne</font> to become <font color='#7570b3'>london evening standard editor</font>","<font color='#d95f02'>osborne</font> to become <font color='#7570b3'>evening standard editor</font>","<font color='#d95f02'>osborne</font> named <font color='#7570b3'>new london evening standard editor ''london</font>","<font color='#d95f02'>osborne</font> named <font color='#7570b3'>new london evening standard editor</font>","<font color='#d95f02'>osbourne</font> to become <font color='#7570b3'>editor</font>"
"{a0} be add {a1}","{a0} welcome {a1}","20","<font color='#d95f02'>sesame street</font> is adding <font color='#7570b3'>a character</font>","<font color='#d95f02'>sesame street</font> welcomes <font color='#7570b3'>a character</font>","<font color='#d95f02'>[bbc news sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> is adding <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street writer christine ferraro</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> is adding <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> is adding <font color='#7570b3'>julia</font>","<font color='#d95f02'>autism juliamuppet sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>[bbc news sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> is adding <font color='#7570b3'>julia</font>"
"to grab {a0} at {a1}","to steal {a0} at {a1}","19-21","to steal <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris orly airport - new york</font>","to grab <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>airport</font>","to steal <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris orly airport - new york daily news</font>","to grab <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>airport</font>","to steal <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>airport</font>","to grab <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris airport</font>","to grab <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>paris airport | ctv news</font>","to steal <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>airport</font>","to steal <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>airport</font>","to grab <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>airport</font>"
"{a0} snub {a1}","{a0} welcome {a1}","18","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor angela merkel</font>","<font color='#d95f02'>trump</font> snubs <font color='#7570b3'>merkel</font>","<font color='#d95f02'>donald trump</font> welcomes <font color='#7570b3'>angela merkel</font>","<font color='#d95f02'>donald trump</font> snubs <font color='#7570b3'>angela merkel</font>","<font color='#d95f02'>donald trump</font> welcomes <font color='#7570b3'>germany's angela merkel</font>","<font color='#d95f02'>donald trump</font> snubs <font color='#7570b3'>angela merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor merkel</font>","<font color='#d95f02'>trump</font> snubs <font color='#7570b3'>merkel</font>","<font color='#d95f02'>trump</font> snubs <font color='#7570b3'>merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor angela merkel</font>"
"{a0} should release {a1}","{a0} to release {a1}","20","<font color='#d95f02'>trump</font> to release <font color='#7570b3'>tax returns</font>","<font color='#d95f02'>trump</font> should release <font color='#7570b3'>tax returns</font>","<font color='#d95f02'>trump</font> should release <font color='#7570b3'>his tax returns</font>","<font color='#d95f02'>trump</font> to release <font color='#7570b3'>his tax returns</font>","<font color='#d95f02'>trump</font> to release <font color='#7570b3'>his tax returns pressure</font>","<font color='#d95f02'>trump</font> should release <font color='#7570b3'>his tax returns</font>","<font color='#d95f02'>trump</font> to release <font color='#7570b3'>tax returns</font>","<font color='#d95f02'>trump</font> should release <font color='#7570b3'>his tax returns</font>","<font color='#d95f02'>trump</font> to release <font color='#7570b3'>his tax returns - politico</font>","<font color='#d95f02'>trump</font> should release <font color='#7570b3'>his tax returns</font>"
"{a0} be investigate {a1}","{a0} be probe {a1}","18-20","<font color='#d95f02'>the fbi</font> is probing <font color='#7570b3'>links</font>","<font color='#d95f02'>the fbi</font> is investigating <font color='#7570b3'>possible trump campaign links</font>","<font color='#d95f02'>fbi</font> is probing <font color='#7570b3'>links</font>","<font color='#d95f02'>fbi</font> is investigating <font color='#7570b3'>possible trump campaign's links</font>","<font color='#d95f02'>fbi</font> is probing <font color='#7570b3'>trump-russia links</font>","<font color='#d95f02'>fbi</font> is investigating <font color='#7570b3'>trump-russia ties</font>","<font color='#d95f02'>us attorney preet bharara</font> was investigating <font color='#7570b3'>a key member</font>","<font color='#d95f02'>preet bharara</font> was probing <font color='#7570b3'>key member</font>","<font color='#d95f02'>the fbi</font> is probing <font color='#7570b3'>links</font>","<font color='#d95f02'>the fbi</font> is investigating <font color='#7570b3'>links</font>"
"{a0} approve {a1}","{a0} pass {a1}","20-21","<font color='#d95f02'>house</font> approved <font color='#7570b3'>a bill</font>","<font color='#d95f02'>the state house</font> passed <font color='#7570b3'>a bill</font>","<font color='#d95f02'>cabinet</font> passed <font color='#7570b3'>four gst bills</font>","<font color='#d95f02'>cabinet</font> approves <font color='#7570b3'>4 gst bills</font>","<font color='#d95f02'>house</font> approves <font color='#7570b3'>drug price-gouging bill</font>","<font color='#d95f02'>house</font> passes <font color='#7570b3'>bill</font>","<font color='#d95f02'>house</font> approved <font color='#7570b3'>a bill</font>","<font color='#d95f02'>the house</font> passed <font color='#7570b3'>a bill</font>","<font color='#d95f02'>cabinet</font> approves <font color='#7570b3'>bill</font>","<font color='#d95f02'>cabinet</font> passes <font color='#7570b3'>iim bill</font>"
"{a0} propose {a1}","{a0} seek {a1}","17-18-21","<font color='#d95f02'>trump</font> seeks <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>billions</font>","<font color='#d95f02'>|trump's proposed budget</font> seeks <font color='#7570b3'>cuts</font>","<font color='#d95f02'>budget</font> proposes <font color='#7570b3'>cut</font>","<font color='#d95f02'>trump</font> seeks <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump budget</font> seeks <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump</font> seeks <font color='#7570b3'>cuts</font>"
"{a0} block {a1}","{a0} put {a1}","16","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> puts <font color='#7570b3'>trump's muslim travel ban</font>","<font color='#d95f02'>the hawaii judge</font> blocked <font color='#7570b3'>trump's travel ban</font>","<font color='#d95f02'>judge</font> puts <font color='#7570b3'>trump's travel ban</font>","<font color='#d95f02'>federal judge</font> puts <font color='#7570b3'>trump's revised travel ban</font>","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>trump's second travel ban</font>","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> puts <font color='#7570b3'>trump's revised travel ban</font>","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>donald trump's travel ban</font>","<font color='#d95f02'>judges</font> put <font color='#7570b3'>travel ban</font>"
"{a0} tell {a1}","{a0} welcome {a1}","21","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor</font>","<font color='#d95f02'>trump</font> tells <font color='#7570b3'>german chancellor merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor angelamerkel</font>","<font color='#d95f02'>trump</font> tells <font color='#7570b3'>german chancellor merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor angela merkel</font>","<font color='#d95f02'>trump</font> tells <font color='#7570b3'>german chancellor merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor angela merkel</font>","<font color='#d95f02'>trump</font> tells <font color='#7570b3'>merkel</font>","<font color='#d95f02'>trump</font> tells <font color='#7570b3'>merkel</font>","<font color='#d95f02'>trump</font> welcomes <font color='#7570b3'>german chancellor merkel</font>"
"{a0} to be {a1}","{a0} to become {a1}","20","<font color='#d95f02'>george osborne</font> to be <font color='#7570b3'>editor</font>","<font color='#d95f02'>jesus christ bbc news - george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> to be <font color='#7570b3'>editor</font>","<font color='#d95f02'>latest bbc george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> to be <font color='#7570b3'>editor</font>","<font color='#d95f02'>latest bbc george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> to be <font color='#7570b3'>editor</font>","<font color='#d95f02'>- george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>holy fuck - george osborne</font> to become <font color='#7570b3'>editor</font>","<font color='#d95f02'>george osborne</font> to be <font color='#7570b3'>editor</font>"
"{a0} call {a1}","{a0} insult {a1}","17-18","<font color='#d95f02'>mcdonald's twitter account</font> calls <font color='#7570b3'>trump</font>","<font color='#d95f02'>a mcdonald's twitter account</font> insulted <font color='#7570b3'>trump</font>","<font color='#d95f02'>mcdonald's twitter account</font> insults <font color='#7570b3'>trump</font>","<font color='#d95f02'>official mcdonald's twitter account</font> calls <font color='#7570b3'>trump</font>","<font color='#d95f02'>mcdonald's twitter</font> calls <font color='#7570b3'>trump</font>","<font color='#d95f02'>mcdonald's twitter feed</font> insults <font color='#7570b3'>trump</font>","<font color='#d95f02'>mcdonald's twitter account</font> calls <font color='#7570b3'>trump</font>","<font color='#d95f02'>twitter</font> insults <font color='#7570b3'>trump</font>","<font color='#d95f02'>twitter account</font> calls <font color='#7570b3'>trump</font>","<font color='#d95f02'>a mcdonald's twitter account</font> insulted <font color='#7570b3'>trump</font>"
"{a0} halt {a1}","{a0} put {a1}","16","<font color='#d95f02'>federal judge</font> puts <font color='#7570b3'>trump's revised travel ban</font>","<font color='#d95f02'>2 federal judges</font> halt <font color='#7570b3'>trump's revised travel ban</font>","<font color='#d95f02'>hawaii judge</font> puts <font color='#7570b3'>trump's travel ban</font>","<font color='#d95f02'>the hawaii judge</font> halting <font color='#7570b3'>trump's travel ban - fox nation</font>","<font color='#d95f02'>federal judge</font> puts <font color='#7570b3'>trump travel ban</font>","<font color='#d95f02'>a federal judge</font> halted <font color='#7570b3'>trump's travel ban</font>","<font color='#d95f02'>: federal judge</font> puts <font color='#7570b3'>trump's revised travel ban</font>","<font color='#d95f02'>2 federal judges</font> halt <font color='#7570b3'>trump's revised travel ban</font>","<font color='#d95f02'>a federal judge</font> halted <font color='#7570b3'>trump's travel ban</font>","<font color='#d95f02'>judge</font> puts <font color='#7570b3'>trump's travel ban</font>"
"{a0} die at {a1}","{a0} live until {a1}","22","<font color='#d95f02'>chuckberry</font> dies at <font color='#7570b3'>90 a pioneering legend</font>","<font color='#d95f02'>chuck berry</font> lived until <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> lived until <font color='#7570b3'>90</font>","<font color='#d95f02'>story chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> lived until <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> lived until <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> dies at <font color='#7570b3'>90 chuck berry</font>","<font color='#d95f02'>chuck berry</font> lived until <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> dies at <font color='#7570b3'>90 rip chuck</font>"
"{a0} chop {a1}","{a0} slash {a1}","16","<font color='#d95f02'>trump budget</font> chops <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> slashes <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> slashes <font color='#7570b3'>climate change funding</font>","<font color='#d95f02'>trump budget</font> chops <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> chops <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> chops <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> chops <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> slashes <font color='#7570b3'>climate change funding</font>"
"{a0} add {a1}","{a0} put {a1}","16","<font color='#d95f02'>mobile alexa amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> puts <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> puts <font color='#7570b3'>alexa</font>","<font color='#d95f02'>test amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> puts <font color='#7570b3'>alexa</font>","<font color='#d95f02'>voice - amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> puts <font color='#7570b3'>alexa</font>","<font color='#d95f02'>techfempires - amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>mobile iphone app amazon</font> adds <font color='#7570b3'>alexa</font>","<font color='#d95f02'>amazon</font> puts <font color='#7570b3'>alexa</font>"
"visit with {a0} in {a1}","visit {a0} in {a1}","22","visit with <font color='#d95f02'>russia</font> in <font color='#7570b3'>april</font>","visit <font color='#d95f02'>russia</font> in <font color='#7570b3'>april adam schiff</font>","visit with <font color='#d95f02'>russia</font> in <font color='#7570b3'>april</font>","visit <font color='#d95f02'>russia</font> in <font color='#7570b3'>april - sources u.s</font>","visit with <font color='#d95f02'>russia</font> in <font color='#7570b3'>april</font>","visit <font color='#d95f02'>russia</font> in <font color='#7570b3'>april - sources | article</font>","visit <font color='#d95f02'>russia</font> in <font color='#7570b3'>april trump craps</font>","visit with <font color='#d95f02'>russia</font> in <font color='#7570b3'>april</font>","visit with <font color='#d95f02'>russia</font> in <font color='#7570b3'>april</font>","visit <font color='#d95f02'>russia</font> in <font color='#7570b3'>april - sources washington</font>"
"to send {a0} to {a1}","{a0} head to {a1}","19","<font color='#d95f02'>drudgereport immigration judges</font> headed to <font color='#7570b3'>12 cities</font>","to send <font color='#d95f02'>immigration judges</font> to <font color='#7570b3'>12 cities</font>","<font color='#d95f02'>immigration judges</font> headed to <font color='#7570b3'>12 us.cities</font>","to send <font color='#d95f02'>immigration judges</font> to <font color='#7570b3'>12 cities</font>","to send <font color='#d95f02'>immigration judges</font> to <font color='#7570b3'>12 cities</font>","<font color='#d95f02'>immigration judges</font> headed to <font color='#7570b3'>12 usa cities</font>","to send <font color='#d95f02'>immigration judges</font> to <font color='#7570b3'>12 cities</font>","<font color='#d95f02'>immigration judges</font> headed to <font color='#7570b3'>12 cities</font>","to send <font color='#d95f02'>immigration judges</font> to <font color='#7570b3'>12 cities</font>","<font color='#d95f02'>immigration judges</font> headed to <font color='#7570b3'>12 usa cities</font>"
"{a0} to skip {a1}","{a0} will skip {a1}","22","<font color='#d95f02'>tillerson</font> to skip <font color='#7570b3'>nato meeting</font>","<font color='#d95f02'>tillerson</font> will skip <font color='#7570b3'>nato meeting</font>","<font color='#d95f02'>tillerson</font> will skip <font color='#7570b3'>nato meeting</font>","<font color='#d95f02'>tillerson</font> to skip <font color='#7570b3'>nato meeting</font>","<font color='#d95f02'>rex tillerson</font> to skip <font color='#7570b3'>nato meeting</font>","<font color='#d95f02'>tillerson</font> will skip <font color='#7570b3'>nato meeting</font>","<font color='#d95f02'>news update tillerson</font> to skip <font color='#7570b3'>nato meeting</font>","<font color='#d95f02'>tillerson</font> will skip <font color='#7570b3'>nato meeting</font>","<font color='#d95f02'>news - rex tillerson</font> to skip <font color='#7570b3'>nato meeting</font>","<font color='#d95f02'>tillerson</font> will skip <font color='#7570b3'>nato meeting</font>"
"{a0} to be welcome on {a1}","{a1} introduce {a0}","22","<font color='#d95f02'>muppet</font> to be welcomed on <font color='#7570b3'>sesame street</font>","<font color='#7570b3'>sesamestreet</font> introduces <font color='#d95f02'>new muppet</font>","<font color='#d95f02'>a muppet</font> to be welcomed on <font color='#7570b3'>'sesame street</font>","<font color='#7570b3'>sesamestreet</font> introduces <font color='#d95f02'>muppet</font>","<font color='#d95f02'>a muppet</font> to be welcomed on <font color='#7570b3'>sesamestreet</font>","<font color='#7570b3'>sesame street</font> introduces <font color='#d95f02'>muppet</font>","<font color='#d95f02'>muppet</font> to be welcomed on <font color='#7570b3'>sesame street</font>","<font color='#7570b3'>sesamestreet</font> introduces <font color='#d95f02'>a new muppet</font>","<font color='#d95f02'>muppet</font> to be welcomed on <font color='#7570b3'>sesame street</font>","<font color='#7570b3'>sesamestreet</font> introduces <font color='#d95f02'>a new muppet</font>"
"{a0} will be down {a1}","{a0} will be {a1}","19-20","<font color='#d95f02'>tom price trump's health care promises</font> will be down <font color='#7570b3'>the line</font>","<font color='#d95f02'>tom price trump's health care promises</font> will be <font color='#7570b3'>the line - cnn</font>","<font color='#d95f02'>tom price trump's health care promises</font> will be down <font color='#7570b3'>the line - cnn</font>","<font color='#d95f02'>tom price trump's health care promises</font> will be <font color='#7570b3'>the line - cnn navishealth</font>","<font color='#d95f02'>trump's health care promises</font> will be down <font color='#7570b3'>the line</font>","<font color='#d95f02'>tom price trump's health care promises</font> will be <font color='#7570b3'>the line - cnn navishealth</font>","<font color='#d95f02'>tom price trump's health care promises</font> will be <font color='#7570b3'>the line - cnn</font>","<font color='#d95f02'>update: tom price trumps health care promises</font> will be down <font color='#7570b3'>the line</font>","<font color='#d95f02'>tom price trump's health care promises</font> will be <font color='#7570b3'>the line cnnpolitics</font>","<font color='#d95f02'>tom price trump's health care promises</font> will be down <font color='#7570b3'>the line</font>"
"{a0} ask {a1}","{a0} tell {a1}","21","<font color='#d95f02'>pm</font> asks <font color='#7570b3'>trump</font>","<font color='#d95f02'>irish pm enda kenny</font> tells <font color='#7570b3'>trump</font>","<font color='#d95f02'>supportmodi narendramodi pm modi</font> asks <font color='#7570b3'>mps</font>","<font color='#d95f02'>modi</font> tells <font color='#7570b3'>mps</font>","<font color='#d95f02'>senators</font> tell <font color='#7570b3'>rex tillerson</font>","<font color='#d95f02'>senators</font> ask <font color='#7570b3'>tillerson</font>","<font color='#d95f02'>senators</font> tell <font color='#7570b3'>rex tillerson</font>","<font color='#d95f02'>senators</font> ask <font color='#7570b3'>tillerson</font>","<font color='#d95f02'>senators</font> tell <font color='#7570b3'>tillerson</font>","<font color='#d95f02'>- gop senators</font> ask <font color='#7570b3'>tillerson</font>"
"{a0} cut {a1}","{a0} would cut {a1}","16-18","<font color='#d95f02'>trump's budget</font> would cut <font color='#7570b3'>million</font>","<font color='#d95f02'>trump's budget</font> cuts <font color='#7570b3'>million</font>","<font color='#d95f02'>trump's budget</font> would cut <font color='#7570b3'>millions</font>","<font color='#d95f02'>trump's budget</font> cuts <font color='#7570b3'>million</font>","<font color='#d95f02'>trump's budget</font> cuts <font color='#7570b3'>million</font>","<font color='#d95f02'>trump's budget</font> would cut <font color='#7570b3'>millions</font>","<font color='#d95f02'>trump budget</font> would cut <font color='#7570b3'>million</font>","<font color='#d95f02'>trump's budget</font> cuts <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump's budget</font> cuts <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump budget</font> would cut <font color='#7570b3'>million</font>"
